item,ave_score,ave_discounted_score
1,3.8881379813581254,3.8451379813581186
3,3.3304620715580686,3.320062071558071
6,3.9604600862768797,3.940060086276876
47,3.941818039508552,3.9012180395085565
50,4.195696851553166,4.154896851553157
70,3.5565402155228116,3.5455402155228133
101,3.771780821312116,3.767180821312116
110,3.9692411032685286,3.9218411032685285
151,3.58879762980507,3.579997629805068
157,3.1094508297220003,3.107250829721996
163,3.5960000706184942,3.5828000706184846
216,3.4060297956860217,3.3962297956860223
223,3.869291621242714,3.8484916212427165
231,3.1123700839680946,3.085770083968095
235,3.6893550817360503,3.6753550817360408
260,4.111392908374847,4.0611929083748555
296,3.9273775948276595,3.86597759482766
316,3.413955213316637,3.3859552133166333
333,3.8151355985290363,3.8051355985290365
349,3.658172814519884,3.636172814519885
356,3.387465894283883,3.3216658942838837
362,3.5838976790171952,3.577097679017194
367,3.228708266948006,3.1973082669480024
423,3.125517073747509,3.1235170737475104
441,3.9224690606839334,3.9140690606839272
457,3.9881821928470895,3.950182192847092
480,3.6876337888162727,3.640033788816269
500,3.433193927205789,3.4043939272057884
527,4.159013712315103,4.115013712315107
543,3.371719440588246,3.3635194405882425
552,3.3323684111814984,3.320168411181494
553,3.8359117409473615,3.8229117409473616
590,3.8523107097668263,3.8195107097668237
592,3.4353120671687774,3.39751206716878
593,3.9775765162037984,3.9217765162037996
596,3.472020057037076,3.4600200570370747
608,4.106935761688261,4.0707357616882565
648,3.5797085606644554,3.5473085606644537
661,3.4826774674312553,3.472877467431256
673,2.8339611298364167,2.8233611298364156
733,3.690173913422802,3.6659739134228047
736,3.3984335506850907,3.3738335506850805
780,3.474910753315895,3.4345107533158963
804,3.3991452623852263,3.397545262385227
919,3.9000577368297913,3.881657736829788
923,4.029882440533518,4.016082440533509
940,3.8555614608968316,3.8539614608968304
943,3.7889663629248496,3.787566362924853
954,4.001711378885381,3.9981113788853824
1009,3.268228094661591,3.2664280946615913
1023,3.6189397208978877,3.616339720897893
1024,3.6369749646888074,3.635774964688815
1025,3.6028259601418706,3.597825960141864
1029,3.4345112318040205,3.427511231804017
1030,3.0092709016114165,3.006270901611415
1031,3.51650958247018,3.51170958247018
1032,3.417062615866845,3.4090626158668433
1042,3.3641647572059497,3.3557647572059506
1049,3.5516822712106078,3.5474822712106087
1060,3.7058455360650515,3.6986455360650496
1073,3.8787121286031008,3.8549121286030976
1080,3.9251071978804615,3.907307197880457
1089,4.197014672854046,4.170814672854066
1090,3.9685668655663875,3.955966865566388
1092,3.255517267195445,3.2461172671954497
1097,3.784524110536353,3.76012411053636
1127,3.5224786990573254,3.510078699057335
1136,4.1456068953040335,4.118406895304035
1196,4.171691581641618,4.129491581641613
1197,4.228434393586795,4.200034393586784
1198,4.179656016558406,4.139656016558394
1206,4.002086150514482,3.9780861505144807
1208,4.205952461918103,4.184552461918102
1210,4.121818345004457,4.08261834500446
1213,4.250084299371781,4.22488429937178
1214,3.9741807200679276,3.944980720067924
1219,4.044443424088893,4.027843424088888
1220,3.820722602350928,3.803922602350921
1222,4.098399934468724,4.077999934468721
1224,3.937844372516284,3.9340443725162846
1226,3.5368223557293037,3.5356223557293074
1240,3.9123486476102585,3.8861486476102587
1256,3.77169698404515,3.7670969840451556
1258,4.100530316939209,4.078730316939214
1265,3.9428762053770563,3.9142762053770563
1270,4.026108941169573,3.9919089411695743
1275,3.745971788397186,3.7363717883971908
1278,3.9925343646614646,3.9787343646614666
1282,3.7904105740581224,3.77981057405812
1291,4.0511242877825655,4.023124287782563
1298,3.7538176205156857,3.749217620515678
1348,3.5599254219200667,3.5567254219200675
1377,3.110943227594276,3.098943227594273
1396,3.522564612353803,3.513364612353806
1408,3.8263574504566042,3.8185574504566056
1445,2.7699224002134675,2.768522400213465
1473,3.626731529837075,3.626531529837077
1500,3.650018627668786,3.6382186276687856
1517,3.5613923096902176,3.541392309690219
1552,3.132461720203886,3.1206617202038855
1573,3.429206379603074,3.4138063796030758
1580,3.5175676894092263,3.484567689409217
1587,3.3127209632241943,3.3065209632242016
1617,4.070277680305886,4.050877680305887
1620,3.2763083376186346,3.273708337618635
1625,3.7537961532920803,3.7383961532920753
1644,2.346873882254679,2.3404738822546802
1676,3.3844939180056475,3.368493918005648
1732,3.914984550076417,3.893784550076412
1777,3.4865752786707653,3.4753752786707603
1793,3.6877326357585,3.6873326357585037
1804,3.3983494348633596,3.3977494348633606
1805,3.127353929240011,3.121153929240014
1920,3.0036400635672607,3.000040063567262
1927,4.124301634018688,4.122301634018697
1954,3.8346571109869387,3.8218571109869415
1967,3.8134418134969064,3.805041813496895
2000,3.706320890015157,3.6913208900151604
2005,3.5958291776338065,3.5844291776338055
2012,3.420647582578577,3.403047582578578
2018,3.418966402380556,3.4113664023805614
2028,4.140948325537877,4.103348325537865
2033,3.700487380778858,3.698887380778855
2046,3.310822933312739,3.306022933312732
2048,3.5896994549842804,3.5880994549842784
2054,2.8491351539251166,2.8355351539251177
2058,3.4303361032597715,3.4243361032597717
2078,3.846619222784362,3.836019222784361
2090,3.3157720859386894,3.3131720859386906
2093,3.2662289799389725,3.2650289799389687
2094,3.345838545067538,3.338038545067536
2096,3.4691581054568807,3.4647581054568857
2099,3.499294043168742,3.4980940431687406
2105,3.389958180383571,3.379958180383574
2115,3.6694852942652934,3.6478852942652837
2116,3.2891685058822877,3.2861685058822863
2137,3.585261652769479,3.5810616527694745
2139,3.5140372225178638,3.509837222517871
2141,3.2968370548390795,3.293237054839079
2143,3.234317937225816,3.231717937225816
2161,3.621583180288985,3.612983180288992
2174,3.497677864260039,3.4794778642600392
2193,3.371715035655476,3.3637150356554772
2253,2.660704354639179,2.656704354639174
2268,3.8082517874545947,3.7968517874545915
2273,3.347686540667184,3.339286540667185
2291,3.7325232450729056,3.716523245072908
2329,4.221135241799194,4.195335241799195
2338,2.441145492033374,2.437545492033373
2353,3.5699628148490685,3.5565628148490713
2366,3.6343151571538215,3.6293151571538216
2387,3.5032292517385777,3.500029251738579
2389,2.5029441260585887,2.5011441260585863
2395,3.57229610575971,3.5610961057597126
2406,3.505754761195881,3.4949547611958818
2414,3.4464308093302987,3.4442308093303047
2427,3.35578421682179,3.348784216821792
2450,2.5505574760030116,2.547357476003009
2459,3.41308283432885,3.4104828343288514
2470,3.2334482631925594,3.22204826319256
2478,3.253868896874517,3.2486688968745163
2492,3.2676708283924203,3.2662708283924164
2502,4.097696223663058,4.07889622366306
2528,3.3305025655558462,3.3257025655558445
2529,3.814467021022636,3.8032670210226405
2542,4.055319866209802,4.041919866209811
2571,4.051045974114559,3.995445974114568
2580,3.964316465828262,3.9565164658282677
2596,3.7489346110458106,3.746534611045816
2616,3.0268273683874334,3.0216273683874335
2617,3.202001495611609,3.1846014956116098
2628,3.1702486289058576,3.142248628905857
2640,3.637685014867772,3.625485014867774
2641,3.1048366661576607,3.0950366661576587
2644,3.4346217202584857,3.432821720258486
2648,3.8108759253378914,3.8086759253378855
2654,3.6085943960499627,3.607594396049967
2657,3.384110797630937,3.3715107976309384
2692,4.0049246944194845,3.989924694419488
2700,3.8605114398661553,3.845311439866156
2716,3.7890951491520353,3.7650951491520304
2761,4.040093320524101,4.032293320524097
2797,3.733860511327074,3.715660511327076
2826,3.055902887764615,3.050702887764615
2858,4.01929350830915,3.9784935083091577
2872,3.655410508490661,3.650410508490662
2899,3.3645577176411368,3.36395771764113
2916,3.6833432105904405,3.665743210590444
2944,3.9338893015431697,3.9274893015431696
2947,3.8544073118064195,3.8438073118064175
2948,3.7578529174999233,3.750652917499924
2949,3.7396306359071243,3.733030635907128
2959,4.21169147821889,4.168091478218891
2985,3.4132544517708285,3.3992544517708256
2987,3.595707598551585,3.576307598551587
2991,3.715120102658109,3.7105201026581094
2993,3.5292867931784557,3.5244867931784625
2997,3.972983535846396,3.953183535846391
3033,3.5137140130464224,3.5019140130464224
3034,3.5466486037965983,3.5394486037965978
3052,3.6801854068184006,3.6643854068184014
3053,3.8343403556662103,3.8321403556662124
3062,3.8716850527182345,3.8694850527182307
3147,4.165547646614292,4.143347646614296
3168,3.6081965045496744,3.602396504549676
3176,3.4043587973679266,3.394558797367926
3243,2.7277381056378474,2.7247381056378486
3247,3.1501873012778696,3.1429873012778686
3253,3.5131238298871335,3.5009238298871344
3273,2.8457164798753647,2.8399164798753698
3386,3.537670883724672,3.5314708837246718
3439,2.941264099652816,2.938664099652817
3440,2.4928730309047618,2.4900730309047576
3441,3.477260782931217,3.4744607829312177
3448,3.8043556646936074,3.795755664693605
3450,3.3452223392374982,3.339422339237495
3479,3.402048973849085,3.398448973849088
3489,3.4249949650936884,3.4143949650936922
3527,3.6253189926511555,3.6131189926511578
3578,3.9498441716095916,3.915844171609588
3617,3.1722619493869617,3.1640619493869644
3639,3.6218649666791407,3.6182649666791424
3671,3.9325034470707214,3.9201034470707277
3702,3.5326058065933905,3.5250058065933954
3703,4.02446837402694,4.016468374026938
3729,3.7471815208324246,3.746581520832418
3740,3.8195462931296924,3.8139462931296957
3744,2.900142601597328,2.8963426015973295
3793,3.740651020288728,3.7140510202887222
3809,3.331337563548843,3.3243375635488426
4006,3.484586274874504,3.483186274874505
5060,3.929415365956462,3.920215365956462
318,4.020209543701839,3.9568095437018367
1704,4.097517956058521,4.069317956058519
6874,3.9634635946548142,3.9372635946548113
8798,3.779753444880205,3.770953444880205
46970,3.342741334024985,3.3371413340249863
48516,4.253753846069805,4.2323538460698025
58559,4.237997917236035,4.20819791723603
60756,3.6195871373875597,3.613987137387557
68157,4.132878278154969,4.115278278154963
71535,3.876320029573315,3.8657200295733145
74458,4.024903497047991,4.011503497047991
77455,3.922909209719107,3.9203092097191043
79132,4.063660109395763,4.0350601093957605
80489,3.9080696290013153,3.903669629001316
80906,4.115025096771909,4.112625096771925
86345,3.860958727375968,3.859158727375968
89774,3.7065896356019383,3.7043896356019417
91529,4.011310660124289,3.9961106601242813
91658,3.51751459494634,3.5091145949463463
99114,3.9493742590262806,3.9351742590262764
106782,3.9174016735542425,3.906601673554243
109487,3.9935800765733562,3.9789800765733534
112552,4.010502555470982,4.002902555470986
114060,3.284271795421774,3.2836717954217773
115713,3.895339516407247,3.8897395164072477
122882,3.8099276869828,3.8005276869828046
131724,3.804245385307,3.8040453853070013
31,3.2856171244833074,3.2780171244833083
647,3.4199036127295943,3.414103612729598
688,2.8059237856754047,2.8041237856754053
720,4.007795945529506,4.0023959455295035
849,3.0534285501739555,3.0446285501739596
914,4.007970948432445,4.000970948432439
1093,3.4581022496769127,3.4507022496769153
1124,3.6427678116810944,3.6401678116810903
1263,3.8227864196579615,3.814186419657963
1272,4.086174354841056,4.079574354841072
1302,3.5599974488430943,3.548797448843094
1371,3.137247011982948,3.1282470119829466
2080,3.445249914682977,3.434249914682976
2288,3.9257475720346475,3.916747572034647
2424,3.2194531339384054,3.209453133938403
2851,3.4556415286955584,3.4548415286955607
3024,3.0534938759425647,3.052093875942564
3210,3.502767993760833,3.4943679937608336
3949,3.929264510845278,3.910064510845281
4518,3.6718081439652734,3.6710081439652735
5048,2.9163897232982072,2.9151897232982082
5181,3.8301395909046554,3.829739590904649
5746,3.803254155301308,3.8030541553013113
5764,3.71795849686665,3.7177584968666517
5919,3.845367869735122,3.8449678697351173
6238,3.1349008356615857,3.133100835661586
6835,3.8032553915979084,3.8030553915979057
7899,3.717960092525308,3.7177600925253085
7991,3.6255762308929773,3.6249762308929685
26409,3.368546673631565,3.3681466736315615
70946,3.5713849784290277,3.570784978429031
72378,2.8553688304644984,2.8511688304644935
21,3.545125727740714,3.527325727740712
32,3.975661239778619,3.9402612397786143
45,3.3966965807837415,3.390296580783742
52,3.5126337570459216,3.507033757045922
58,4.01305887534034,4.005658875340341
106,3.6272680544273395,3.627068054427337
125,3.582203195973811,3.5798031959738115
126,2.6524242023610305,2.651024202361034
162,4.085179368203665,4.081779368203665
171,3.7258103676730228,3.724610367673023
176,4.128300403565735,4.125700403565729
190,3.1699828993061843,3.1689828993061826
215,3.9692002157482724,3.9644002157482756
222,3.750351768440675,3.7471517684406797
232,3.8443326032100074,3.841532603210008
247,3.8767931392380297,3.8725931392380324
265,3.922880615099211,3.9162806150992058
319,3.616106298749383,3.612106298749382
342,3.3574918784028447,3.3508918784028476
345,3.6086944072037093,3.6014944072037087
348,3.5894872488787852,3.583487248878786
351,3.30750185214027,3.3041018521402727
357,3.5521218432160993,3.5315218432161073
368,3.549198524868038,3.5343985248680405
417,3.6815690352555483,3.678969035255551
450,3.2637086281255647,3.262308628125566
475,4.194837760100747,4.189837760100742
492,3.744189857347627,3.7413898573476305
509,3.5862243050338636,3.5740243050338636
538,3.6010936949081414,3.5986936949081416
539,3.5362637433519257,3.5150637433519307
588,3.798624360915305,3.762024360915309
595,3.793461659652353,3.764261659652352
599,3.7433721436456135,3.741172143645618
708,3.440918752481952,3.4293187524819566
759,3.5441905121405823,3.5437905121405744
800,4.06312729039589,4.059327290395896
892,3.580771934427819,3.5781719344278273
898,4.238170305135972,4.232370305135977
899,4.072475141383431,4.063075141383435
902,3.8411765677378433,3.8339765677378437
904,4.263843993591969,4.247043993591958
908,4.183156723569364,4.171756723569363
910,3.9989573749899234,3.988957374989924
912,4.247877902472203,4.2278779024721995
920,3.662533837322891,3.6535338373228914
930,4.142233381545897,4.138233381545897
937,3.539686831888783,3.5392868318887807
1046,4.0107357850657595,4.009935785065747
1057,3.5241124483995905,3.5211124483995895
1077,3.748722417810748,3.7431224178107527
1079,3.927916289990571,3.9137162899905746
1084,4.046953277400856,4.039953277400852
1086,4.034251914338578,4.029251914338574
1094,3.5005054190485443,3.492105419048543
1103,3.981561022508457,3.978561022508456
1179,3.6626616870710045,3.657261687071007
1183,3.723135504529406,3.7141355045294078
1188,3.6897580653021533,3.685358065302159
1199,4.161685694349233,4.14988569434923
1203,4.114699456468704,4.103299456468699
1211,3.807569051033342,3.804969051033341
1225,4.177484619626832,4.162284619626837
1250,4.092709640977584,4.083709640977592
1259,4.016353017813121,3.9981530178131215
1266,4.082756680363011,4.073756680363019
1279,3.9105282652140803,3.9089282652140795
1283,4.107249084258037,4.103449084258047
1288,4.003429163367024,3.990229163367023
1304,3.931389444209909,3.9189894442099096
1391,3.1612930297906456,3.1440930297906444
1449,3.861990935091504,3.8571909350915004
1466,3.7706708367567234,3.7602708367567272
1597,3.0396120429538263,3.031012042953827
1641,3.784424145211657,3.7732241452116573
1719,4.126694705013376,4.123494705013381
1733,3.998332269998767,3.997532269998768
1734,3.9202143888343954,3.9184143888343956
1834,3.8995607463154536,3.8973607463154516
1860,3.152412060144201,3.151612060144206
1883,3.3474138942464813,3.3426138942464823
1885,3.295677396986388,3.293277396986391
1892,3.392762999848784,3.389562999848782
1895,3.43562567219053,3.432625672190528
1907,3.6041859726644434,3.595185972664447
1914,3.467779259616911,3.465979259616912
1916,3.4425369146474636,3.4401369146474607
1923,3.7035877520967206,3.6825877520967274
1947,3.6489727734014017,3.642172773401403
1966,3.631392150872917,3.6297921508729196
1968,3.805398869462816,3.7827988694628147
2019,4.147370593983989,4.137770593983984
2076,3.9376163065652214,3.928416306565223
2109,3.4112784338861513,3.4058784338861545
2145,3.3132103253897736,3.3066103253897787
2150,3.8963234068144,3.890723406814404
2186,3.9376715918378142,3.932671591837814
2203,3.9313354182669045,3.9299354182668997
2204,3.7221543709472,3.721354370947201
2282,3.5061778511236255,3.5049778511236314
2324,4.1387444316936906,4.1211444316936845
2336,3.6827398217954515,3.6781398217954546
2351,4.00665264390047,4.0052526439004765
2359,3.7080002918637174,3.70280029186372
